Ticker,Market Cap,Sector
MMM,74693648384.0,Industrials
AOS,8006465024.0,Industrials
ABT,146921930752.0,Healthcare
ABBV,367245557760.0,Healthcare
ACN,104482422784.0,Technology
ADBE,97343488000.0,Technology
AMD,730981924864.0,Technology
AES,10283734016.0,Utilities
AFL,59123687424.0,Financial Services
A,31905800192.0,Healthcare
APD,67605856256.0,Basic Materials
ABNB,80546275328.0,Consumer Cyclical
AKAM,21743847424.0,Technology
ALB,24237928448.0,Basic Materials
ARE,8103530496.0,Real Estate
ALGN,11873568768.0,Healthcare
ALLE,11283379200.0,Industrials
LNT,18748289024.0,Utilities
ALL,55466487808.0,Financial Services
GOOGL,4692917092352.0,Communication Services
GOOG,4650149871616.0,Communication Services
MO,116708696064.0,Consumer Defensive
AMZN,2859454955520.0,Consumer Cyclical
AMCR,18133198848.0,Consumer Cyclical
AEE,30301534208.0,Utilities
AEP,71789207552.0,Utilities
AXP,214462021632.0,Financial Services
AIG,40507756544.0,Financial Services
AMT,83311001600.0,Real Estate
AWK,24927559680.0,Utilities
AMP,42262417408.0,Financial Services
AME,52991733760.0,Industrials
AMGN,181596602368.0,Healthcare
APH,157310091264.0,Technology
ADI,204874874880.0,Technology
AON,67565068288.0,Financial Services
APA,13110211584.0,Energy
APO,76059951104.0,Financial Services
AAPL,4329832448000.0,Technology
AMAT,342204579840.0,Technology
APP,164842160128.0,Communication Services
APTV,11628548096.0,Consumer Cyclical
ACGL,32950931456.0,Financial Services
ADM,38908350464.0,Consumer Defensive
ARES,27887597568.0,Financial Services
ANET,179482001408.0,Technology
AJG,50720350208.0,Financial Services
AIZ,12061380608.0,Financial Services
T,175306588160.0,Communication Services
ATO,30369392640.0,Utilities
ADSK,49591685120.0,Technology
ADP,85467185152.0,Technology
AZO,56493125632.0,Consumer Cyclical
AVB,26016739328.0,Real Estate
AVY,12246875136.0,Consumer Cyclical
AXON,31729815552.0,Industrials
BKR,64722558976.0,Energy
BALL,15327811584.0,Consumer Cyclical
BAC,360364867584.0,Financial Services
BAX,9239629824.0,Healthcare
BDX,40644964352.0,Healthcare
BRK.B,,
BBY,12051764224.0,Consumer Cyclical
TECH,7424489984.0,Healthcare
BIIB,29432936448.0,Healthcare
BLK,169593126912.0,Financial Services
BX,204541100032.0,Financial Services
XYZ,42924453888.0,Technology
BK,91590418432.0,Financial Services
BA,186725171200.0,Industrials
BKNG,124414484480.0,Consumer Cyclical
BSX,80411811840.0,Healthcare
BMY,115274924032.0,Healthcare
AVGO,1985246396416.0,Technology
BR,17294385152.0,Technology
BRO,18903121920.0,Financial Services
BF.B,,
BLDR,7828207104.0,Industrials
BG,24487026688.0,Consumer Defensive
BXP,10522157056.0,Real Estate
CHRW,19709552640.0,Industrials
CDNS,98753159168.0,Technology
CPT,10427302912.0,Real Estate
CPB,6079206912.0,Consumer Defensive
COF,114321416192.0,Financial Services
CAH,42756620288.0,Healthcare
CCL,34420719616.0,Consumer Cyclical
CARR,54452850688.0,Industrials
CVNA,58533519360.0,Consumer Cyclical
CASY,32144072704.0,Consumer Cyclical
CAT,420124360704.0,Industrials
CBOE,37235814400.0,Financial Services
CBRE,42183155712.0,Real Estate
CDW,12685918208.0,Technology
COR,50766815232.0,Healthcare
CNC,29287100416.0,Healthcare
CNP,27560161280.0,Utilities
CF,20031721472.0,Basic Materials
CRL,8125414400.0,Healthcare
SCHW,156835233792.0,Financial Services
CHTR,20883103744.0,Communication Services
CVX,370337579008.0,Energy
CMG,41906917376.0,Consumer Cyclical
CB,124906471424.0,Financial Services
CHD,22156597248.0,Consumer Defensive
CIEN,81608105984.0,Technology
CI,78960271360.0,Healthcare
CINF,25336139776.0,Financial Services
CTAS,66182406144.0,Industrials
CSCO,392184889344.0,Technology
C,215653154816.0,Financial Services
CFG,26197536768.0,Financial Services
CLX,10775302144.0,Consumer Defensive
CME,103544184832.0,Financial Services
CMS,22646896640.0,Utilities
KO,344327651328.0,Consumer Defensive
CTSH,22576289792.0,Technology
COHR,73171066880.0,Technology
COIN,54704992256.0,Financial Services
CL,69968551936.0,Consumer Defensive
CMCSA,88948490240.0,Communication Services
FIX,70979002368.0,Industrials
CAG,6698120192.0,Consumer Defensive
COP,143600320512.0,Energy
ED,39395823616.0,Utilities
STZ,24547182592.0,Consumer Defensive
CEG,106369712128.0,Utilities
COO,11697107968.0,Healthcare
CPRT,32213032960.0,Industrials
GLW,170612850688.0,Technology
CPAY,22114551808.0,Technology
CTVA,55237836800.0,Basic Materials
CSGP,13496156160.0,Real Estate
COST,453359665152.0,Consumer Defensive
CRH,74430816256.0,Basic Materials
CRWD,139022761984.0,Technology
CCI,39935356928.0,Real Estate
CSX,82742919168.0,Industrials
CMI,97221582848.0,Industrials
CVS,121404481536.0,Healthcare
DHR,117673943040.0,Healthcare
DRI,22806208512.0,Consumer Cyclical
DDOG,71170678784.0,Technology
DVA,12871659520.0,Healthcare
DECK,13469632512.0,Consumer Cyclical
DE,159144525824.0,Industrials
DELL,155356102656.0,Technology
DAL,46456070144.0,Industrials
DVN,53925339136.0,Energy
DXCM,23592273920.0,Healthcare
FANG,55742230528.0,Energy
DLR,69847900160.0,Real Estate
DG,22678906880.0,Consumer Defensive
DLTR,17340297216.0,Consumer Defensive
D,55335333888.0,Utilities
DPZ,10316502016.0,Consumer Cyclical
DASH,67619188736.0,Consumer Cyclical
DOV,29182474240.0,Industrials
DOW,28418834432.0,Basic Materials
DHI,40628453376.0,Consumer Cyclical
DTE,29660678144.0,Utilities
DUK,97504100352.0,Utilities
DD,20717422592.0,Basic Materials
ETN,155914092544.0,Industrials
EBAY,49017602048.0,Consumer Cyclical
SATS,37496074240.0,Communication Services
ECL,70837821440.0,Basic Materials
EIX,27424264192.0,Utilities
EW,45908537344.0,Healthcare
EA,50098290688.0,Communication Services
ELV,85409964032.0,Healthcare
EME,41188171776.0,Industrials
EMR,76890521600.0,Industrials
ETR,51709161472.0,Utilities
EOG,71441465344.0,Energy
EPAM,4970536960.0,Technology
EQT,34889162752.0,Energy
EFX,20117024768.0,Industrials
EQIX,106576322560.0,Real Estate
EQR,25455650816.0,Real Estate
ERIE,11425336320.0,Financial Services
ESS,18516332544.0,Real Estate
EL,30712770560.0,Consumer Defensive
EG,13916144640.0,Financial Services
EVRG,19201734656.0,Utilities
ES,25847982080.0,Utilities
EXC,46023901184.0,Utilities
EXE,23068837888.0,Energy
EXPE,26582489088.0,Consumer Cyclical
EXPD,20198074368.0,Industrials
EXR,31954270208.0,Real Estate
XOM,624353411072.0,Energy
FFIV,20027705344.0,Technology
FDS,7866209280.0,Financial Services
FICO,25185323008.0,Technology
