Ticker,Market Cap,Sector
LIN,232962932736.0,Basic Materials
NEM,127775391744.0,Basic Materials
FCX,94920155136.0,Basic Materials
SHW,76846718976.0,Basic Materials
CRH,74430816256.0,Basic Materials
ECL,70837821440.0,Basic Materials
APD,67605856256.0,Basic Materials
CTVA,55237836800.0,Basic Materials
NUE,52340486144.0,Basic Materials
VMC,36244430848.0,Basic Materials
MLM,34895073280.0,Basic Materials
STLD,33572737024.0,Basic Materials
DOW,28418834432.0,Basic Materials
ALB,24237928448.0,Basic Materials
LYB,23986135040.0,Basic Materials
PPG,23712102400.0,Basic Materials
DD,20717422592.0,Basic Materials
IFF,20033662976.0,Basic Materials
CF,20031721472.0,Basic Materials
MOS,7116586496.0,Basic Materials
GOOGL,4692917092352.0,Communication Services
GOOG,4650149871616.0,Communication Services
META,1530669301760.0,Communication Services
NFLX,369118609408.0,Communication Services
TMUS,209190158336.0,Communication Services
VZ,200155676672.0,Communication Services
DIS,184348065792.0,Communication Services
T,175306588160.0,Communication Services
APP,164842160128.0,Communication Services
CMCSA,88948490240.0,Communication Services
WBD,68194123776.0,Communication Services
EA,50098290688.0,Communication Services
TTWO,41847803904.0,Communication Services
LYV,38553530368.0,Communication Services
SATS,37496074240.0,Communication Services
FOXA,28144205824.0,Communication Services
FOX,25298305024.0,Communication Services
OMC,21671872512.0,Communication Services
CHTR,20883103744.0,Communication Services
NWS,16641862656.0,Communication Services
AMZN,2859454955520.0,Consumer Cyclical
TSLA,1627918565376.0,Consumer Cyclical
HD,309226733568.0,Consumer Cyclical
MCD,195275423744.0,Consumer Cyclical
TJX,166159646720.0,Consumer Cyclical
LOW,125745324032.0,Consumer Cyclical
BKNG,124414484480.0,Consumer Cyclical
SBUX,121469222912.0,Consumer Cyclical
MAR,92351668224.0,Consumer Cyclical
ABNB,80546275328.0,Consumer Cyclical
ORLY,76109193216.0,Consumer Cyclical
HLT,71383703552.0,Consumer Cyclical
ROST,70404259840.0,Consumer Cyclical
RCL,69226487808.0,Consumer Cyclical
GM,68923293696.0,Consumer Cyclical
DASH,67619188736.0,Consumer Cyclical
NKE,62715564032.0,Consumer Cyclical
CVNA,58533519360.0,Consumer Cyclical
AZO,56493125632.0,Consumer Cyclical
EBAY,49017602048.0,Consumer Cyclical
WMT,1039018688512.0,Consumer Defensive
COST,453359665152.0,Consumer Defensive
KO,344327651328.0,Consumer Defensive
PG,335108702208.0,Consumer Defensive
PM,291341402112.0,Consumer Defensive
PEP,207569993728.0,Consumer Defensive
MO,116708696064.0,Consumer Defensive
MNST,83981557760.0,Consumer Defensive
MDLZ,79201189888.0,Consumer Defensive
CL,69968551936.0,Consumer Defensive
TGT,55318671360.0,Consumer Defensive
KR,40894713856.0,Consumer Defensive
KDP,39687520256.0,Consumer Defensive
HSY,38927671296.0,Consumer Defensive
ADM,38908350464.0,Consumer Defensive
SYY,34897768448.0,Consumer Defensive
KVUE,33542551552.0,Consumer Defensive
KMB,32311072768.0,Consumer Defensive
EL,30712770560.0,Consumer Defensive
KHC,27711625216.0,Consumer Defensive
XOM,624353411072.0,Energy
CVX,370337579008.0,Energy
COP,143600320512.0,Energy
WMB,91394662400.0,Energy
SLB,83185008640.0,Energy
MPC,73565118464.0,Energy
VLO,73378021376.0,Energy
KMI,72195604480.0,Energy
EOG,71441465344.0,Energy
PSX,70336028672.0,Energy
BKR,64722558976.0,Energy
OXY,55968096256.0,Energy
FANG,55742230528.0,Energy
OKE,55713804288.0,Energy
TRGP,54768537600.0,Energy
DVN,53925339136.0,Energy
EQT,34889162752.0,Energy
HAL,34836086784.0,Energy
TPL,27685648384.0,Energy
EXE,23068837888.0,Energy
JPM,816929439744.0,Financial Services
V,620767215616.0,Financial Services
MA,441624068096.0,Financial Services
BAC,360364867584.0,Financial Services
MS,302649442304.0,Financial Services
GS,279047536640.0,Financial Services
WFC,230065045504.0,Financial Services
C,215653154816.0,Financial Services
AXP,214462021632.0,Financial Services
BX,204541100032.0,Financial Services
BLK,169593126912.0,Financial Services
SCHW,156835233792.0,Financial Services
IBKR,143807922176.0,Financial Services
SPGI,125554327552.0,Financial Services
CB,124906471424.0,Financial Services
PGR,115944038400.0,Financial Services
COF,114321416192.0,Financial Services
CME,103544184832.0,Financial Services
KKR,92749963264.0,Financial Services
BK,91590418432.0,Financial Services
LLY,882708054016.0,Healthcare
JNJ,539842445312.0,Healthcare
ABBV,367245557760.0,Healthcare
UNH,359979352064.0,Healthcare
MRK,277534179328.0,Healthcare
AMGN,181596602368.0,Healthcare
TMO,170685743104.0,Healthcare
GILD,167537442816.0,Healthcare
ISRG,152952307712.0,Healthcare
PFE,147444629504.0,Healthcare
ABT,146921930752.0,Healthcare
CVS,121404481536.0,Healthcare
DHR,117673943040.0,Healthcare
BMY,115274924032.0,Healthcare
VRTX,113778434048.0,Healthcare
SYK,112769720320.0,Healthcare
MDT,98628042752.0,Healthcare
HCA,95322349568.0,Healthcare
MCK,88312709120.0,Healthcare
ELV,85409964032.0,Healthcare
CAT,420124360704.0,Industrials
GE,310784589824.0,Industrials
GEV,288062472192.0,Industrials
RTX,240908189696.0,Industrials
BA,186725171200.0,Industrials
DE,159144525824.0,Industrials
UNP,157690232832.0,Industrials
ETN,155914092544.0,Industrials
VRT,141017858048.0,Industrials
HON,138478551040.0,Industrials
LMT,120123645952.0,Industrials
PWR,114917556224.0,Industrials
PH,111124987904.0,Industrials
HWM,107932999680.0,Industrials
TT,103378804736.0,Industrials
CMI,97221582848.0,Industrials
GD,93693239296.0,Industrials
FDX,89816358912.0,Industrials
WM,87402954752.0,Industrials
JCI,86050701312.0,Industrials
WELL,153536380928.0,Real Estate
PLD,134032900096.0,Real Estate
EQIX,106576322560.0,Real Estate
AMT,83311001600.0,Real Estate
SPG,78283038720.0,Real Estate
DLR,69847900160.0,Real Estate
O,58308759552.0,Real Estate
PSA,54643879936.0,Real Estate
VTR,43040604160.0,Real Estate
CBRE,42183155712.0,Real Estate
CCI,39935356928.0,Real Estate
IRM,37550587904.0,Real Estate
EXR,31954270208.0,Real Estate
VICI,30742073344.0,Real Estate
AVB,26016739328.0,Real Estate
EQR,25455650816.0,Real Estate
SBAC,22656120832.0,Real Estate
ESS,18516332544.0,Real Estate
WY,16908449792.0,Real Estate
INVH,16906434560.0,Real Estate
NVDA,5366057795584.0,Technology
AAPL,4329832448000.0,Technology
MSFT,3029092794368.0,Technology
AVGO,1985246396416.0,Technology
MU,864498352128.0,Technology
AMD,730981924864.0,Technology
INTC,606185848832.0,Technology
ORCL,537331695616.0,Technology
CSCO,392184889344.0,Technology
LRCX,361715138560.0,Technology
AMAT,342204579840.0,Technology
PLTR,326034423808.0,Technology
TXN,268632096768.0,Technology
KLAC,236612157440.0,Technology
QCOM,221666738176.0,Technology
SNDK,215029301248.0,Technology
IBM,206041661440.0,Technology
ADI,204874874880.0,Technology
STX,181355282432.0,Technology
ANET,179482001408.0,Technology
NEE,197252431872.0,Utilities
CEG,106369712128.0,Utilities
SO,105368838144.0,Utilities
DUK,97504100352.0,Utilities
AEP,71789207552.0,Utilities
